SOC_2020_ext,SOC2020_ext_SUG_title,INDEXOCC_-_natural_word_order
2439/99,"Business, research and administrative professionals n.e.c.",A
2439/99,"Business, research and administrative professionals n.e.c.",A
2439/99,"Business, research and administrative professionals n.e.c.",A1
4111/01,National government benefits officers,A1
4111/99,National government administrative occupations n.e.c.,A1
2439/99,"Business, research and administrative professionals n.e.c.",A2
4111/01,National government benefits officers,A2
4111/99,National government administrative occupations n.e.c.,A2
3560/99,Public services associate professionals n.e.c.,A3
4111/01,National government benefits officers,A3
4111/99,National government administrative occupations n.e.c.,A3
4111/99,National government administrative occupations n.e.c.,A3
4111/01,National government benefits officers,A4
4111/99,National government administrative occupations n.e.c.,A4
4111/01,National government benefits officers,A5
4111/01,National government benefits officers,A6
4111/01,National government benefits officers,A7
4111/99,National government administrative occupations n.e.c.,AA
3311/99,Non-commissioned officers and other ranks n.e.c.,AB
8232/00,Marine and waterways transport operatives,AB
6132/00,Ambulance staff (excluding paramedics),ACA
2435/00,Professional/chartered company secretaries,ACG
2435/00,Professional/chartered company secretaries,ACIS
1112/01,Assembly members and Members of Parliament,AM
4111/99,National government administrative occupations n.e.c.,AO
4112/99,Local government administrative occupations n.e.c.,AP(T)
3560/99,Public services associate professionals n.e.c.,AP(T)
8133/99,Energy plant operatives n.e.c.,APA
2463/00,Clergy,Abbot
5319/04,Industrial climbers,Abseiler
4135/00,Library clerks and assistants,Abstractor
2311/00,Higher education teaching professionals,Academic
3415/03,Instrumentalists ,Accompanist
2421/02,Financial accountants (qualified),Bank accountant
4122/01,Accounting clerks and bookkeepers ,Barrack accountant
4122/01,Accounting clerks and bookkeepers ,Barracks accountant
2421/02,Financial accountants (qualified),Borough accountant
2421/02,Financial accountants (qualified),Branch accountant
2421/02,Financial accountants (qualified),Certified accountant
2421/02,Financial accountants (qualified),Chartered accountant
2421/02,Financial accountants (qualified),Group chief accountant
2421/02,Financial accountants (qualified),Chief accountant
2421/02,Financial accountants (qualified),Company accountant
2421/02,Financial accountants (qualified),Cost accountant
4122/01,Accounting clerks and bookkeepers ,Cost accountant
2421/02,Financial accountants (qualified),Cost and management accountant
2421/02,Financial accountants (qualified),Cost and works accountant
4122/01,Accounting clerks and bookkeepers ,Cost and works accountant
2421/02,Financial accountants (qualified),District accountant
2421/02,Financial accountants (qualified),Group financial accountant
2421/02,Financial accountants (qualified),Financial accountant
4122/01,Accounting clerks and bookkeepers ,Financial accountant
2421/03,Forensic accountants,Forensic accountant
2421/04,Fund accountants,Fund accountant
2421/02,Financial accountants (qualified),Group accountant
4122/01,Accounting clerks and bookkeepers ,Group accountant
2421/02,Financial accountants (qualified),Incorporated accountant
2421/02,Financial accountants (qualified),Chartered management accountant
2421/02,Financial accountants (qualified),Management accountant
4122/01,Accounting clerks and bookkeepers ,Management accountant
2421/02,Financial accountants (qualified),Principal accountant
2421/02,Financial accountants (qualified),Project accountant
4122/01,Accounting clerks and bookkeepers ,Project accountant
2133/99,"IT business analysts, architects and systems designers n.e.c.",Systems accountant
2423/00,Taxation experts,Tax accountant
2423/00,Taxation experts,Taxation accountant
2421/02,Financial accountants (qualified),Treasury accountant
6211/01,Bookmakers,Turf accountant
2421/02,Financial accountants (qualified),Works accountant
4122/01,Accounting clerks and bookkeepers ,Works accountant
2421/02,Financial accountants (qualified),Accountant
2421/02,Financial accountants (qualified),Accountant
2421/02,Financial accountants (qualified),Accountant
2421/02,Financial accountants (qualified),Accountant
4122/01,Accounting clerks and bookkeepers ,Accountant
4122/01,Accounting clerks and bookkeepers ,Accountant and auditor
2419/99,Legal professionals n.e.c.,Accountant of court
2421/02,Financial accountants (qualified),Accountant-secretary
2482/01,Compliance and regulatory professionals,Accreditor
9223/01,Commercial cleaners,Asda ace
